Level	Total	PerKill	Junk	Stats	Divisor
1	250	20	0	0	1
2	655	25	0	0	1
3	1265	30	0	0	1
4	2085	35	0	0	1
5	3240	40	0	0	1
6	4125	45	0	0	1
7	4785	50	0	0	1
8	5865	55	0	0	1
9	7275	60	0	0	1
10	8205	65	0	0	1
11	9365	70	0	0	1
12	10715	75	0	0	1
13	12085	80	0	0	1
14	13455	85	0	0	1
15	14810	90	0	0	1
16	16135	95	0	0	1
17	17415	100	0	0	1
18	18635	105	0	0	1
19	19775	110	0	0	1
20	20825	115	0	0	1
21	22295	120	0	0	1
22	23745	125	0	0	1
23	25170	130	0	0	1
24	26550	135	0	0	1
25	27885	140	0	0	1
26	30140	145	0	0	1
27	32480	150	0	0	1
28	34910	155	0	0	1
29	37425	160	0	0	1
30	40675	165	0	0	1
31	44100	170	0	0	1
32	47705	175	0	0	1
33	51490	180	0	0	1
34	55460	185	0	0	1
35	59625	190	0	0	1
36	63985	195	0	0	1
37	68545	200	0	0	1
38	73305	205	0	0	1
39	78280	210	0	0	1
40	83460	215	0	0	1
41	88860	220	0	0	1
42	94485	225	0	0	1
43	100330	230	0	0	1
44	106405	235	0	0	1
45	112715	240	0	0	1
46	119265	245	0	0	1
47	129995	250	0	0	1
48	139665	255	0	0	1
49	154075	260	0	0	1
50	194030	300	0	0	1
51	212870	305	0	0	9
52	225770	310	0	0	9
53	240255	315	0	0	9
54	255180	320	0	0	9
55	272795	325	0	0	9
56	291495	330	0	0	9
57	311490	335	0	0	9
58	332165	340	0	0	9
59	353410	345	0	0	9
60	99999999	345	0	0	9
61	99999999	350	0	0	99
62	99999999	355	0	0	99
63	99999999	360	0	0	99
64	99999999	365	0	0	99
65	99999999	370	0	0	99
66	99999999	375	0	0	99
67	99999999	380	0	0	99
68	99999999	385	0	0	99
69	99999999	390	0	0	99
70	99999999	395	0	0	99
71	99999999	400	0	0	99
72	99999999	405	0	0	99
73	99999999	410	0	0	99
74	99999999	415	0	0	99
75	99999999	420	0	0	99
76	99999999	425	0	0	99
77	99999999	430	0	0	99
78	99999999	435	0	0	99
79	99999999	440	0	0	99
80	99999999	445	0	0	99
81	99999999	450	0	0	99
82	99999999	455	0	0	99
83	99999999	460	0	0	99
84	99999999	465	0	0	99
85	99999999	470	0	0	99
86	99999999	475	0	0	99
87	99999999	480	0	0	99
88	99999999	485	0	0	99
89	99999999	490	0	0	99
90	99999999	495	0	0	99
91	99999999	500	0	0	99
92	99999999	505	0	0	99
93	99999999	510	0	0	99
94	99999999	515	0	0	99
95	99999999	520	0	0	99
96	99999999	525	0	0	99
97	99999999	530	0	0	99
98	99999999	535	0	0	99
99	99999999	540	0	0	99
100	99999999	545	0	0	99
101	99999999	550	0	0	99
102	99999999	555	0	0	99
103	99999999	560	0	0	99
104	99999999	565	0	0	99
105	99999999	570	0	0	99
106	99999999	575	0	0	99
107	99999999	580	0	0	99
108	99999999	585	0	0	99
109	99999999	590	0	0	99
110	99999999	595	0	0	99
111	99999999	600	0	0	99
112	99999999	605	0	0	99
113	99999999	610	0	0	99
114	99999999	615	0	0	99
115	99999999	620	0	0	99
116	99999999	625	0	0	99
117	99999999	630	0	0	99
118	99999999	635	0	0	99
119	99999999	640	0	0	99
120	99999999	645	0	0	99
121	99999999	645	0	0	99
122	99999999	645	0	0	99
123	99999999	645	0	0	99
